Temperature,R,G,B
47.875,206,254,3
47.77857142857143,205,254,3
47.68214285714286,204,255,3
47.58571428571429,202,255,2
47.489285714285714,200,254,2
47.392857142857146,198,254,2
47.29642857142857,195,254,1
47.2,193,254,1
47.08108108108108,191,254,0
46.962162162162166,190,254,0
46.84324324324324,189,255,0
46.72432432432433,186,254,0
46.605405405405406,186,255,0
46.48648648648649,184,255,0
46.36756756756757,184,255,0
46.24864864864865,183,255,0
46.12972972972973,181,255,0
46.01081081081081,180,255,0
45.891891891891895,178,254,0
45.77297297297297,176,254,0
45.65405405405406,174,254,0
45.535135135135135,172,255,0
45.41621621621621,170,254,0
45.2972972972973,168,255,0
45.178378378378376,163,253,0
45.05945945945946,161,254,0
44.94054054054054,158,254,0
44.821621621621624,154,255,1
44.7027027027027,148,254,0
44.58378378378379,143,254,0
44.464864864864865,138,254,0
44.34594594594594,135,254,0
44.22702702702703,133,253,0
44.108108108108105,132,254,0
43.98918918918919,128,253,0
43.87027027027027,126,253,0
43.751351351351346,123,253,0
43.63243243243243,119,253,0
43.51351351351351,116,253,0
43.394594594594594,114,254,0
43.27567567567567,112,254,1
43.15675675675676,109,254,3
43.037837837837834,106,255,5
42.91891891891892,102,254,7
42.8,99,254,10
42.69285714285714,95,254,12
42.58571428571428,91,254,12
42.47857142857143,88,254,15
42.37142857142857,87,254,19
42.26428571428571,84,254,21
42.15714285714285,81,255,23
42.05,76,255,24
41.94285714285714,71,255,25
41.83571428571428,66,255,26
41.72857142857143,62,254,27
41.62142857142857,60,255,29
41.51428571428571,58,255,31
41.40714285714285,56,255,33
41.3,53,254,34
41.19285714285714,50,254,36
41.08571428571428,46,255,38
40.97857142857143,43,255,40
40.87142857142857,39,255,41
40.76428571428571,37,254,44
40.65714285714285,33,255,47
40.55,30,255,49
40.44285714285714,27,254,49
40.33571428571428,24,254,50
40.22857142857143,19,255,51
40.12142857142857,16,255,53
40.01428571428571,11,255,55
39.90714285714285,7,254,56
39.8,3,254,58
39.69090909090909,0,255,59
39.58181818181818,0,255,61
39.47272727272727,0,255,62
39.36363636363636,0,255,64
39.25454545454545,0,255,65
39.14545454545454,0,254,65
39.03636363636363,0,254,67
38.92727272727272,0,254,73
38.81818181818182,0,254,74
38.70909090909091,0,254,75
38.6,0,254,76
38.49090909090909,0,254,80
38.38181818181818,0,254,82
38.27272727272727,0,254,83
38.163636363636364,0,255,84
38.054545454545455,0,255,88
37.945454545454545,0,255,94
37.836363636363636,0,255,99
37.72727272727273,0,254,102
37.61818181818182,0,254,104
37.50909090909091,0,254,108
37.4,0,254,112
37.29090909090909,0,253,118
37.18181818181818,0,251,125
37.07272727272728,0,251,129
36.96363636363637,0,249,131
36.85454545454546,0,247,135
36.74545454545455,0,246,145
36.63636363636364,0,244,150
36.52727272727273,0,241,154
36.41818181818182,0,240,158
36.30909090909091,0,239,164
36.2,0,237,171
36.08571428571429,0,234,177
35.971428571428575,0,232,183
35.85714285714286,0,232,187
35.74285714285714,0,231,191
35.628571428571426,0,229,196
35.51428571428571,0,226,201
35.4,0,222,207
35.333333333333336,0,219,211
35.266666666666666,0,218,215
35.2,0,217,219
35.081818181818186,0,216,220
34.96363636363637,0,215,226
34.845454545454544,0,212,233
34.72727272727273,0,209,237
34.60909090909091,0,210,240
34.49090909090909,0,208,245
34.372727272727275,0,205,252
34.25454545454546,0,203,254
34.13636363636363,0,202,253
34.018181818181816,0,200,253
33.9,0,198,254
33.78875,0,197,254
33.6775,0,195,254
33.56625,0,193,254
33.455,0,190,253
33.34375,0,188,252
33.2325,0,187,252
33.121249999999996,0,185,254
33.01,0,183,254
32.89875,1,181,254
32.7875,0,173,253
32.676249999999996,0,170,253
32.565,0,166,254
32.45375,0,163,254
32.3425,1,161,254
32.231249999999996,0,158,253
32.12,0,155,252
32.00875,0,152,252
31.897499999999997,0,151,254
31.78625,0,149,254
31.674999999999997,0,145,253
31.56375,0,141,251
31.4525,0,137,252
31.34125,0,134,252
31.229999999999997,0,132,253
31.11875,1,131,254
31.0075,0,126,253
30.89625,0,122,254
30.785,0,117,253
30.67375,0,115,253
30.5625,0,112,254
30.451249999999998,0,108,254
30.34,0,104,253
30.228749999999998,0,100,254
30.1175,0,97,254
30.006249999999998,0,95,254
29.895,0,92,253
29.783749999999998,0,89,253
29.6725,0,87,253
29.56125,0,84,252
29.45,0,81,251
29.338749999999997,0,78,250
29.2275,1,78,251
29.11625,1,76,251
29.005,1,72,248
28.893749999999997,0,68,244
28.7825,0,64,241
28.67125,0,61,239
28.56,0,58,237
28.44875,2,57,239
28.3375,1,53,240
28.22625,0,49,239
28.115,0,44,235
28.00375,0,40,232
27.8925,0,39,231
27.78125,0,37,230
27.669999999999998,0,33,227
27.55875,0,30,225
27.447499999999998,0,27,224
27.33625,0,26,224
27.225,0,22,223
27.11375,0,18,221
27.002499999999998,0,13,220
26.89125,0,9,218
26.78,0,6,216
26.66875,0,4,216
26.557499999999997,1,3,215
26.44625,0,1,213
26.335,0,0,209
26.22375,0,0,207
26.1125,0,0,205
26.00125,0,0,203
25.89,0,0,201
25.77875,0,0,198
25.667499999999997,0,0,194
25.55625,0,0,189
25.445,0,0,184
25.333750000000002,0,0,179
25.2225,0,0,176
25.11125,0,0,173
25.0,0,0,171
24.9,0,0,169
24.8,0,0,165
24.700000000000003,0,0,162
24.6,0,0,160
24.5,0,0,156
24.400000000000002,0,0,153
24.3,0,0,149
24.2,0,0,145
24.1,0,0,143
24.0,0,0,142
23.9,0,0,139
23.8,0,0,136
23.7,0,0,131
23.6,0,0,126
23.5,0,0,121
23.4,0,0,119
23.3,0,0,116
23.2,0,0,110
23.064516129032256,0,0,107
22.929032258064517,0,0,103
22.793548387096774,0,0,101
22.65806451612903,0,0,96
22.52258064516129,0,0,94
22.387096774193548,0,1,92
22.251612903225805,0,1,90
22.116129032258065,0,0,87
21.980645161290322,0,0,84
21.84516129032258,0,0,81
21.70967741935484,0,0,77
21.574193548387097,0,0,73
21.438709677419354,0,0,68
21.303225806451614,0,0,64
21.16774193548387,0,0,62
21.032258064516128,0,0,59
20.89677419354839,0,0,57
20.761290322580646,0,0,53
20.625806451612902,0,0,51
20.49032258064516,0,0,47
20.35483870967742,0,0,43
20.219354838709677,0,0,39
20.083870967741934,0,0,36
19.948387096774194,0,0,32
19.81290322580645,0,1,29
19.677419354838708,0,0,24
19.54193548387097,0,0,18
19.406451612903226,0,0,11
19.270967741935483,0,0,6
19.13548387096774,0,0,2
19.0,0,0,0
